"DWA ID","DWA Title","FSHC_Rating"
"4.A.1.a.1.I19.D02","Collect information about community health needs.",NA
"4.A.1.a.1.I20.D01","Research engineering aspects of biological or chemical processes.",NA
"4.A.1.a.1.I20.D02","Research engineering applications of emerging technologies.",NA
"4.A.1.a.1.I20.D03","Research design or application of green technologies.",NA
"4.A.1.a.1.I20.D04","Conduct research to gain information about products or processes.",NA
"4.A.1.a.1.I20.D05","Research advanced engineering designs or applications.",NA
"4.A.1.a.1.I20.D06","Research energy production, use, or conservation.",NA
"4.A.1.a.1.I20.D07","Research human performance or health factors related to engineering or design activities.",NA
"4.A.1.a.1.I20.D08","Research new technologies.",NA
"4.A.1.a.1.I20.D09","Research product safety.",NA
"4.A.1.a.1.I20.D10","Research methods to improve food products.",NA
"4.A.1.a.1.I21.D01","Investigate accidents to determine causes.",NA
"4.A.1.a.1.I21.D02","Examine debris to obtain information about causes of fires.",NA
"4.A.1.a.1.I21.D03","Investigate transportation incidents, violations, or complaints.",NA
"4.A.1.a.1.I21.D04","Investigate industrial or transportation accidents.",NA
"4.A.1.a.1.I22.D01","Investigate system, equipment, or product failures.",NA
"4.A.1.a.1.I22.D02","Investigate work related complaints to determine corrective actions.",NA
"4.A.1.a.1.I22.D03","Investigate safety of work environment.",NA
"4.A.1.a.1.I23.D01","Interview employees, customers, or others to collect information.",NA
"4.A.1.a.1.I23.D02","Interview others for news or entertainment purposes.",NA
"4.A.1.a.1.I23.D03","Interview clients to gather financial information.",NA
"4.A.1.a.1.I23.D04","Interview people to obtain information about actions or status of individuals.",NA
"4.A.1.a.1.I23.D05","Interview people to gather information about criminal activities.",NA
"4.A.1.a.1.I23.D06","Interview patients to gather medical information.",NA
"4.A.1.a.1.I23.D07","Interview claimants to get information related to legal proceedings.",NA
"4.A.1.a.1.I23.D08","Interview clients to gather information about their backgrounds, needs, or progress.",NA
"4.A.1.a.1.I23.D09","Interview witnesses, suspects, or claimants.",NA
"4.A.1.a.2.I01.D01","Monitor broadcasting operations to ensure proper functioning.",NA
"4.A.1.a.2.I01.D02","Monitor medical equipment to ensure proper functioning.",NA
"4.A.1.a.2.I01.D03","Monitor engine operation or functioning.",NA
"4.A.1.a.2.I01.D04","Monitor lubrication of equipment or workpieces.",NA
"4.A.1.a.2.I01.D05","Monitor equipment operation to ensure proper functioning.",NA
"4.A.1.a.2.I01.D06","Observe equipment in operation to detect potential problems.",NA
"4.A.1.a.2.I01.D07","Watch operating equipment to detect malfunctions.",NA
"4.A.1.a.2.I01.D08","Monitor green energy equipment, systems, or facilities.",NA
"4.A.1.a.2.I01.D09","Assess equipment functioning.",NA
"4.A.1.a.2.I01.D10","Monitor equipment operation to ensure that products are not flawed.",NA
"4.A.1.a.2.I01.D11","Monitor instruments to ensure proper production conditions.",NA
"4.A.1.a.2.I01.D12","Monitor video displays of medical equipment to ensure proper functioning.",NA
"4.A.1.a.2.I01.D13","Monitor equipment gauges or displays to ensure proper operation.",NA
"4.A.1.a.2.I01.D14","Monitor equipment fluid levels.",NA
"4.A.1.a.2.I02.D01","Monitor industrial energy consumption or management.",NA
"4.A.1.a.2.I02.D02","Monitor facilities or operational systems.",NA
"4.A.1.a.2.I02.D03","Monitor operational quality or safety.",NA
"4.A.1.a.2.I02.D04","Monitor extraction operations.",NA
"4.A.1.a.2.I02.D05","Monitor organizational procedures to ensure proper functioning.",NA
"4.A.1.a.2.I02.D06","Monitor construction operations.",NA
"4.A.1.a.2.I02.D07","Monitor vehicle movement or location.",NA
"4.A.1.a.2.I02.D08","Monitor recreational facility operations.",NA
"4.A.1.a.2.I02.D09","Inspect operational processes.",NA
"4.A.1.a.2.I02.D10","Track goods or materials.",NA
"4.A.1.a.2.I02.D11","Monitor food services operations to ensure procedures are followed.",NA
"4.A.1.a.2.I02.D12","Monitor loading processes to ensure they are performed properly.",NA
"4.A.1.a.2.I02.D13","Monitor biofuel production operations.",NA
"4.A.1.a.2.I02.D14","Inspect cargo to ensure it is properly loaded or secured.",NA
"4.A.1.a.2.I02.D15","Monitor the productivity or efficiency of industrial operations.",NA
"4.A.1.a.2.I02.D16","Monitor operational procedures in technical environments to ensure conformance to standards.",NA
"4.A.1.a.2.I02.D17","Inspect operations of green energy facilities.",NA
"4.A.1.a.2.I02.D18","Monitor conditions at energy-producing landfills.",NA
"4.A.1.a.2.I02.D19","Monitor the handling of hazardous materials or medical wastes.",NA
"4.A.1.a.2.I02.D20","Monitor organizational processes.",NA
"4.A.1.a.2.I03.D01","Monitor financial information.",NA
"4.A.1.a.2.I03.D02","Monitor financial activities.",NA
"4.A.1.a.2.I03.D03","Monitor sales activities.",NA
"4.A.1.a.2.I03.D04","Monitor flow of cash or other resources.",NA
"4.A.1.a.2.I03.D05","Monitor financial indicators.",NA
"4.A.1.a.2.I03.D06","Monitor business indicators.",NA
"4.A.1.a.2.I04.D01","Monitor traffic signals.",NA
"4.A.1.a.2.I04.D02","Time vehicle speed or traffic-control equipment operation.",NA
"4.A.1.a.2.I05.D01","Monitor patient progress or responses to treatments.",NA
"4.A.1.a.2.I05.D02","Monitor clients to evaluate treatment progress.",NA
"4.A.1.a.2.I05.D03","Monitor patients following surgeries or other treatments.",NA
"4.A.1.a.2.I05.D04","Monitor animal behavior or condition.",NA
"4.A.1.a.2.I05.D05","Monitor health or behavior of people or animals.",NA
"4.A.1.a.2.I05.D06","Monitor patients to detect health problems.",NA
"4.A.1.a.2.I05.D07","Monitor patient conditions during treatments, procedures, or activities.",NA
"4.A.1.a.2.I05.D08","Monitor nutrition related activities of individuals or groups.",NA
"4.A.1.a.2.I06.D01","Monitor performance of organizational members or partners.",NA
"4.A.1.a.2.I06.D02","Monitor patron activities to identify problems or potential problems.",NA
"4.A.1.a.2.I06.D03","Monitor student performance.",NA
"4.A.1.a.2.I06.D04","Supervise school or student activities.",NA
"4.A.1.a.2.I06.D05","Enforce rules or policies governing student behavior.",NA
"4.A.1.a.2.I06.D06","Monitor activities of individuals to ensure safety or compliance with rules.",NA
"4.A.1.a.2.I06.D07","Monitor student behavior, social development, or health.",NA
"4.A.1.a.2.I07.D01","Monitor environment to ensure safety.",NA
"4.A.1.a.2.I07.D02","Monitor access or flow of people to prevent problems.",NA
"4.A.1.a.2.I07.D03","Monitor building premises to ensure occupant or visitor safety.",NA
"4.A.1.a.2.I07.D04","Locate suspicious objects or vehicles.",NA
"4.A.1.a.2.I07.D05","Patrol properties to maintain safety.",NA
"4.A.1.a.2.I07.D06","Monitor work areas to provide security.",NA
"4.A.1.a.2.I07.D07","Maintain surveillance of individuals or establishments.",NA
"4.A.1.a.2.I07.D08","Monitor alarm systems.",NA
"4.A.1.a.2.I07.D09","Monitor work areas or procedures to ensure compliance with safety procedures.",NA
"4.A.1.a.2.I07.D10","Locate fires or fire danger areas.",NA
"4.A.1.a.2.I07.D11","Monitor surroundings to detect potential hazards.",NA
"4.A.1.a.2.I07.D12","Patrol natural areas to ensure safety or enforce regulations.",NA
"4.A.1.a.2.I07.D13","Monitor work environment to ensure safety or adherence to specifications.",NA
"4.A.1.a.2.I08.D01","Monitor market conditions or trends.",NA
"4.A.1.a.2.I08.D02","Monitor current trends.",NA
"4.A.1.a.2.I08.D03","Monitor external affairs or events affecting business operations.",NA
"4.A.1.a.2.I08.D04","Monitor external factors impacting operations.",NA
"4.A.1.a.2.I09.D01","Inspect landscaping to determine treatment needs.",NA
"4.A.1.a.2.I09.D02","Monitor environmental conditions to detect hazards.",NA
"4.A.1.a.2.I09.D03","Measure environmental characteristics.",NA
"4.A.1.a.2.I09.D04","Monitor activities affecting environmental quality.",NA
"4.A.1.a.2.I09.D05","Assess characteristics of fires.",NA
"4.A.1.a.2.I09.D06","Inspect condition of natural environments.",NA
"4.A.1.a.2.I10.D01","Monitor the security of digital information.",NA
"4.A.1.a.2.I10.D02","Monitor the performance of computer networks.",NA
"4.A.1.a.2.I10.D03","Monitor computer system performance to ensure proper operation.",NA
"4.A.1.a.2.I11.D01","Identify actions needed to bring properties or facilities into compliance with regulations.",NA
"4.A.1.a.2.I11.D02","Inspect products or operations to ensure that standards are met.",NA
"4.A.1.a.2.I11.D03","Monitor operations to ensure compliance with safety or security policies or regulations.",NA
"4.A.1.a.2.I11.D04","Monitor organizational compliance with regulations.",NA
"4.A.1.a.2.I11.D05","Verify that medical activities or operations meet standards.",NA
"4.A.1.a.2.I11.D06","Monitor processes for compliance with standards.",NA
"4.A.1.a.2.I11.D07","Evaluate personnel practices to ensure adherence to regulations.",NA
"4.A.1.a.2.I11.D08","Monitor operational activities to ensure compliance with regulations or standard operating procedures.",NA
"4.A.1.a.2.I11.D09","Evaluate construction projects to determine compliance with external standards or regulations.",NA
"4.A.1.a.2.I11.D10","Determine operational compliance with regulations or standards.",NA
"4.A.1.a.2.I11.D11","Monitor medical facility activities to ensure adherence to standards or regulations.",NA
"4.A.1.b.1.I01.D01","Apply identification labels or tags.",NA
"4.A.1.b.1.I01.D02","Mark agricultural or forestry products for identification.",NA
"4.A.1.b.1.I01.D03","Mark materials or objects for identification.",NA
"4.A.1.b.1.I01.D04","Mark products, workpieces, or equipment with identifying information.",NA
"4.A.1.b.1.I01.D05","Label production materials.",NA
"4.A.1.b.1.I01.D06","Attach identification information to products, items or containers.",NA
"4.A.1.b.1.I02.D01","Identify opportunities for green initiatives.",NA
"4.A.1.b.1.I02.D02","Identify potential customers.",NA
"4.A.1.b.1.I02.D03","Identify investment opportunities or strategies.",NA
"4.A.1.b.1.I02.D04","Identify strategic business investment opportunities.",NA
"4.A.1.b.1.I02.D05","Identify new applications for existing technologies.",NA
"4.A.1.b.1.I02.D06","Identify opportunities to improve operational efficiency.",NA
"4.A.1.b.1.I02.D07","Identify sustainable business practices.",NA
"4.A.1.b.1.I02.D08","Identify job or employment opportunities.",NA
"4.A.1.b.2.I01.D01","Test patient heart or lung functioning.",NA
"4.A.1.b.2.I01.D02","Administer screening tests to determine abilities or treatment needs.",NA
"4.A.1.b.2.I01.D03","Test patient hearing.",NA
"4.A.1.b.2.I01.D04","Test patient vision.",NA
"4.A.1.b.2.I01.D05","Conduct diagnostic tests to determine patient health.",NA
"4.A.1.b.2.I01.D06","Administer drug screening tests.",NA
"4.A.1.b.2.I01.D07","Test patient nervous system functioning.",NA
"4.A.1.b.2.I01.D08","Test biological specimens to gather information about patient conditions.",NA
"4.A.1.b.2.I02.D01","Test green technologies or processes.",NA
"4.A.1.b.2.I02.D02","Test green technology installations to verify performance.",NA
"4.A.1.b.2.I03.D01","Test materials, solutions, or samples.",NA
"4.A.1.b.2.I03.D02","Test products for functionality or quality.",NA
"4.A.1.b.2.I03.D03","Analyze test results.",NA
"4.A.1.b.2.I03.D04","Test characteristics of materials or structures.",NA
"4.A.1.b.2.I03.D05","Test chemical or physical characteristics of materials or products.",NA
"4.A.1.b.2.I03.D06","Test fluids to identify contamination or other problems.",NA
"4.A.1.b.2.I03.D07","Test quality of materials or finished products.",NA
"4.A.1.b.2.I04.D01","Inspect motor vehicles.",NA
"4.A.1.b.2.I04.D02","Inspect mechanical components of vehicles to identify problems.",NA
"4.A.1.b.2.I04.D03","Inspect vehicles to determine overall condition.",NA
"4.A.1.b.2.I04.D04","Inspect locomotives or other railroad equipment.",NA
"4.A.1.b.2.I04.D05","Inspect aircraft or aircraft components.",NA
"4.A.1.b.2.I04.D06","Inspect structural components of vehicles to identify problems.",NA
"4.A.1.b.2.I05.D01","Inspect work sites to determine condition or necessary repairs.",NA
"4.A.1.b.2.I05.D02","Inspect work sites to identify potential environmental or safety hazards.",NA
"4.A.1.b.2.I05.D03","Inspect facilities, equipment or supplies to ensure conformance to standards.",NA
"4.A.1.b.2.I05.D04","Inspect cargo areas for cleanliness or condition.",NA
"4.A.1.b.2.I05.D05","Inspect work environments to ensure safety.",NA
"4.A.1.b.2.I05.D06","Monitor cargo area conditions.",NA
"4.A.1.b.2.I05.D07","Inspect facilities.",NA
"4.A.1.b.2.I05.D08","Inspect facilities or equipment to ensure specifications are met.",NA
"4.A.1.b.2.I05.D09","Inspect areas for compliance with sanitation standards.",NA
"4.A.1.b.2.I05.D10","Inspect facilities to ensure compliance with fire regulations.",NA
"4.A.1.b.2.I05.D11","Inspect facilities to ensure compliance with safety, quality, or service standards.",NA
"4.A.1.b.2.I05.D12","Inspect facilities or sites to determine if they meet specifications or standards.",NA
"4.A.1.b.2.I05.D13","Inspect facilities to ensure compliance with security or safety regulations.",NA
"4.A.1.b.2.I05.D14","Inspect facilities for cleanliness.",NA
"4.A.1.b.2.I05.D15","Inspect condition or functioning of facilities or equipment.",NA
"4.A.1.b.2.I05.D16","Inspect buildings or grounds to determine condition.",NA
"4.A.1.b.2.I06.D01","Verify alignment of structures or equipment.",NA
"4.A.1.b.2.I06.D02","Inspect timing devices.",NA
"4.A.1.b.2.I06.D03","Inspect finishes of workpieces or finished products.",NA
"4.A.1.b.2.I06.D04","Count finished products or workpieces.",NA
"4.A.1.b.2.I06.D05","Inspect metal, plastic, or composite products.",NA
"4.A.1.b.2.I06.D06","Inspect work to ensure standards are met.",NA
"4.A.1.b.2.I06.D07","Inspect textile products.",NA
"4.A.1.b.2.I06.D08","Inspect finished products to locate flaws.",NA
"4.A.1.b.2.I06.D09","Evaluate projects to determine compliance with technical specifications.",NA
"4.A.1.b.2.I06.D10","Inspect medical or dental assistive devices.",NA
"4.A.1.b.2.I06.D11","Inspect items for damage or defects.",NA
"4.A.1.b.2.I06.D12","Check quality of foods or supplies.",NA
"4.A.1.b.2.I06.D13","Inspect food products.",NA
"4.A.1.b.2.I06.D14","Inspect sets or exhibits.",NA
"4.A.1.b.2.I06.D15","Inspect completed work to ensure proper functioning.",NA
"4.A.1.b.2.I06.D16","Inspected printed materials or other images to verify quality.",NA
"4.A.1.b.2.I06.D17","Inspect completed work to ensure proper installation.",NA
"4.A.1.b.2.I06.D18","Inspect installed components or assemblies.",NA
"4.A.1.b.2.I07.D01","Inspect equipment or tools to be used in construction or excavation.",NA
"4.A.1.b.2.I07.D02","Inspect safety equipment to ensure proper functioning.",NA
"4.A.1.b.2.I07.D03","Inspect systems to determine if they are operating properly.",NA
"4.A.1.b.2.I07.D04","Inspect equipment or facilities to determine condition or maintenance needs.",NA
"4.A.1.b.2.I07.D05","Inspect telecommunications equipment to identify problems.",NA
"4.A.1.b.2.I07.D06","Inspect equipment to locate or identify electrical problems.",NA
"4.A.1.b.2.I07.D07","Inspect material-moving equipment to detect problems.",NA
"4.A.1.b.2.I07.D08","Inspect electrical or electronic systems for defects.",NA
"4.A.1.b.2.I07.D09","Conduct validation tests of equipment or processes.",NA
"4.A.1.b.2.I07.D10","Inspect gas systems or components to identify leaks or other potential hazards.",NA
"4.A.1.b.2.I07.D11","Inspect equipment or systems.",NA
"4.A.1.b.2.I07.D12","Inspect plumbing systems or fixtures.",NA
"4.A.1.b.2.I07.D13","Locate equipment or materials in need of repair or replacement.",NA
"4.A.1.b.2.I07.D14","Inspect equipment to ensure safety or proper functioning.",NA
"4.A.1.b.2.I07.D15","Inspect production equipment.",NA
"4.A.1.b.2.I07.D16","Inspect industrial or commercial equipment to ensure proper operation.",NA
"4.A.1.b.2.I07.D17","Inspect sustainable energy production facilities or equipment.",NA
"4.A.1.b.2.I07.D18","Inspect equipment to ensure proper functioning.",NA
"4.A.1.b.2.I07.D19","Inspect communications or broadcasting equipment.",NA
"4.A.1.b.2.I07.D20","Inspect mechanical equipment to locate damage, defects, or wear.",NA
"4.A.1.b.2.I07.D21","Examine medical instruments or equipment to ensure proper operation.",NA
"4.A.1.b.2.I08.D01","Test computer hardware performance.",NA
"4.A.1.b.2.I08.D02","Test computer system operations to ensure proper functioning.",NA
"4.A.1.b.2.I08.D03","Test software performance.",NA
"4.A.1.b.2.I09.D01","Check physical condition of people or animals.",NA
"4.A.1.b.2.I09.D02","Examine animals to detect illness, injury or other problems.",NA
"4.A.1.b.2.I09.D03","Examine patients to assess general physical condition.",NA
"4.A.1.b.2.I09.D04","Examine mouth, teeth, gums, or related facial structures.",NA
"4.A.1.b.2.I09.D05","Measure the physical or physiological attributes of patients.",NA
"4.A.1.b.2.I10.D01","Compare physical characteristics of materials or products to specifications or standards.",NA
"4.A.1.b.2.I10.D02","Inspect lumber or raw woodstock.",NA
"4.A.1.b.2.I10.D03","Inspect shipments to ensure correct order fulfillment.",NA
"4.A.1.b.2.I10.D04","Inspect garments for defects, damage, or stains.",NA
"4.A.1.b.2.I10.D05","Inspect cargo to identify potential hazards.",NA
"4.A.1.b.2.I10.D06","Evaluate characteristics of archival or historical objects.",NA
"4.A.1.b.2.I10.D07","Examine condition of property or products.",NA
"4.A.1.b.2.I10.D08","Inspect materials or equipment to determine need for repair or replacement.",NA
"4.A.1.b.2.I10.D09","Examine physical characteristics of gemstones or precious metals.",NA
"4.A.1.b.2.I10.D10","Examine physical characteristics of natural stone or stone products.",NA
"4.A.1.b.2.I11.D01","Test air quality at work sites.",NA
"4.A.1.b.2.I11.D02","Test facilities for environmental hazards.",NA
"4.A.1.b.2.I12.D01","Test communications equipment to ensure proper functioning.",NA
"4.A.1.b.2.I12.D02","Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",NA
"4.A.1.b.2.I12.D03","Test electrical equipment or systems to ensure proper functioning.",NA
"4.A.1.b.2.I12.D04","Test performance of aircraft equipment.",NA
"4.A.1.b.2.I12.D05","Test mechanical equipment to ensure proper functioning.",NA
"4.A.1.b.2.I12.D06","Measure equipment outputs.",NA
"4.A.1.b.2.I12.D07","Test mechanical systems to ensure proper functioning.",NA
"4.A.1.b.2.I12.D08","Conduct test runs of production equipment.",NA
"4.A.1.b.2.I12.D09","Test electrical circuits or components for proper functioning.",NA
"4.A.1.b.3.I01.D01","Measure materials to mark reference points, cutting lines, or other indicators.",NA
"4.A.1.b.3.I01.D02","Calculate dimensions of workpieces, products, or equipment.",NA
"4.A.1.b.3.I01.D03","Measure physical or chemical properties of materials or objects.",NA
"4.A.1.b.3.I01.D04","Measure product or material dimensions.",NA
"4.A.1.b.3.I01.D05","Measure radiation levels.",NA
"4.A.1.b.3.I01.D06","Measure distances or dimensions.",NA
"4.A.1.b.3.I01.D07","Measure physical characteristics of forestry or agricultural products.",NA
"4.A.1.b.3.I01.D08","Calculate weights, volumes or other characteristics of materials.",NA
"4.A.1.b.3.I01.D09","Measure ingredients.",NA
"4.A.1.b.3.I01.D10","Measure ingredients or substances to be used in production processes.",NA
"4.A.1.b.3.I01.D11","Weigh finished products.",NA
"4.A.1.b.3.I01.D12","Measure dimensions of completed products or workpieces to verify conformance to specifications.",NA
"4.A.1.b.3.I01.D13","Weigh parcels to determine shipping costs.",NA
"4.A.1.b.3.I01.D14","Weigh materials to ensure compliance with specifications.",NA
"4.A.1.b.3.I01.D15","Measure stock or liquid levels in sustainable fuel production systems.",NA
"4.A.1.b.3.I01.D16","Measure materials or objects for installation or assembly.",NA
"4.A.1.b.3.I01.D17","Measure the level or depth of water or other liquids.",NA
"4.A.1.b.3.I02.D01","Estimate time or monetary resources needed to complete projects.",NA
"4.A.1.b.3.I02.D02","Estimate construction project costs.",NA
"4.A.1.b.3.I02.D03","Estimate maintenance service requirements or costs.",NA
"4.A.1.b.3.I02.D04","Estimate operational costs.",NA
"4.A.1.b.3.I02.D05","Estimate green project costs.",NA
"4.A.1.b.3.I02.D06","Estimate costs for projects or productions.",NA
"4.A.1.b.3.I02.D07","Estimate costs for labor or materials.",NA
"4.A.1.b.3.I03.D01","Calculate financial data.",NA
"4.A.1.b.3.I03.D02","Compute gaming wins and losses.",NA
"4.A.1.b.3.I03.D03","Calculate tax information.",NA
"4.A.1.b.3.I03.D04","Compute debt repayment schedules.",NA
"4.A.1.b.3.I04.D01","Survey land or properties.",NA
"4.A.1.b.3.I04.D02","Measure work site dimensions.",NA
"4.A.1.b.3.I04.D03","Calculate geographic positions from survey data.",NA
"4.A.1.b.3.I04.D04","Survey land or bodies of water to measure or determine features.",NA
"4.A.1.b.3.I04.D05","Assess locations for potential green technology installations.",NA
"4.A.1.b.3.I05.D01","Measure clients to ensure proper product fit.",NA
"4.A.2.a.1.I01.D01","Evaluate potential problems in home or work environments of clients.",NA
"4.A.2.a.1.I01.D02","Assess patient work, living, or social environments.",NA
"4.A.2.a.1.I01.D03","Evaluate characteristics of individuals to determine needs or eligibility.",NA
"4.A.2.a.1.I01.D04","Assess individual or community needs for educational or social services.",NA
"4.A.2.a.1.I02.D01","Evaluate program effectiveness.",NA
"4.A.2.a.1.I02.D02","Evaluate the effectiveness of counseling or educational programs.",NA
"4.A.2.a.1.I02.D03","Measure effectiveness of business strategies or practices.",NA
"4.A.2.a.1.I02.D04","Evaluate effectiveness of personnel policies or practices.",NA
"4.A.2.a.1.I02.D05","Evaluate effectiveness of educational programs.",NA
"4.A.2.a.1.I02.D06","Evaluate training programs, instructors, or materials.",NA
"4.A.2.a.1.I02.D07","Evaluate civic projects or public policies.",NA
"4.A.2.a.1.I03.D01","Assess educational needs of students.",NA
"4.A.2.a.1.I03.D02","Administer tests to assess educational needs or progress.",NA
"4.A.2.a.1.I03.D03","Prepare tests.",NA
"4.A.2.a.1.I03.D04","Evaluate student work.",NA
"4.A.2.a.1.I04.D01","Evaluate performance of educational staff.",NA
"4.A.2.a.1.I04.D02","Evaluate current or prospective maintenance employees.",NA
"4.A.2.a.1.I04.D03","Evaluate skills of athletes or performers.",NA
"4.A.2.a.1.I04.D04","Evaluate employee performance.",NA
"4.A.2.a.1.I04.D05","Evaluate capabilities or training needs.",NA
"4.A.2.a.1.I04.D06","Evaluate performance of applicants, trainees, or employees.",NA
"4.A.2.a.1.I05.D01","Evaluate log quality.",NA
"4.A.2.a.1.I05.D02","Evaluate quality of plants or crops.",NA
"4.A.2.a.1.I05.D03","Evaluate quality of materials or products.",NA
"4.A.2.a.1.I05.D04","Evaluate quality of food ingredients or prepared foods.",NA
